Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
20,,1,0,RND,0.05,0.04932234432234432,0.06846698275269704,0.04697366125937554,0.05164609021678166,0.0012878130831296408,,0.0,0.0009980201721191406
20,,2,0,RND,0.055,0.055081168831168835,0.04936611008039579,0.052458256029684604,0.04965298678981312,0.00849858356940525,,0.0,0.0
20,,3,0,RND,0.05,0.04851065601065601,0.06205765134336562,0.04620062477205335,0.05005686035097799,0.002441393431864114,,0.0,0.0
20,,4,0,RND,0.035,0.03855339105339105,0.031106988249845396,0.03671751528894386,0.03344050663743758,-0.014961478793615646,,0.0,0.0
20,,5,0,RND,0.03,0.029682539682539682,0.024627224627224626,0.028269085411942556,0.025964912280701753,-0.01992534567057458,,0.0,0.0
20,,1,1,RND,0.02,0.023809523809523808,0.020634920634920634,0.022675736961451247,0.020341469921301855,-0.029222569380628505,,0.0,0.0
20,,2,1,RND,0.045,0.04565656565656566,0.043005407291121574,0.04348244348244349,0.042249593440069635,-0.0023089840470194023,,0.0,0.0
20,,3,1,RND,0.045,0.04291666666666667,0.04597677454820312,0.040873015873015874,0.042202073811980934,-0.003783897414336934,,0.0,0.0
20,,4,1,RND,0.055,0.06108391608391608,0.05147498004640862,0.05817515817515817,0.052504805942748624,0.007639599905489569,,0.0,0.0010027885437011719
20,,5,1,RND,0.07,0.06699134199134199,0.06127298627298627,0.06380127808699237,0.0610796956102717,0.022595901208617986,,0.0,0.0
20,,1,2,RND,0.04,0.04255827505827506,0.03936336567915515,0.040531690531690534,0.03698044112975303,-0.006342051470202836,,0.0,0.0
20,,2,2,RND,0.045,0.045229978354978356,0.050779907922765065,0.04307616986188415,0.041960629036374666,-0.0006286672254818271,,0.0,0.0
20,,3,2,RND,0.025,0.024285714285714285,0.021454735740450027,0.02312925170068027,0.020408163265306124,-0.025182692813206398,,0.0,0.0
20,,4,2,RND,0.035,0.032215909090909094,0.0363241256098399,0.030681818181818185,0.032284850699172946,-0.01184858970326097,,0.0,0.0005397796630859375
20,,5,2,RND,0.05,0.04248071373071373,0.047186147186147186,0.040457822600679746,0.04339420946155173,0.003644563307899973,,0.0,0.0
20,,1,3,RND,0.04,0.043611111111111114,0.04078540507111936,0.041534391534391535,0.03934899249208039,-0.0077682133109384655,,0.0,0.0
20,,2,3,RND,0.04,0.035355894105894105,0.043982208267922554,0.03367228010085153,0.03674843019672484,-0.007371651932107204,,0.0,0.0
20,,3,3,RND,0.08,0.07308226495726496,0.07988403965847575,0.0696021571021571,0.06734039089255776,0.03394324416559491,,0.0,0.0
20,,4,3,RND,0.07,0.05875076312576313,0.07545866831581118,0.055953107738822026,0.06315991790547747,0.02426229508196731,,0.0,0.0
20,,5,3,RND,0.05,0.04972763347763347,0.04601456744313887,0.047359650931079494,0.044688041003830475,0.0011040428999526952,,0.0,0.0010027885437011719
20,,1,4,RND,0.04,0.03491452991452991,0.04304491804491804,0.03325193325193325,0.03678010510308647,-0.007265954935340879,,0.0,0.0
20,,2,4,RND,0.045,0.04375901875901876,0.050885225885225885,0.04167525596097025,0.04284205700390024,-0.00259835699850397,,0.0,0.0044596195220947266
20,,3,4,RND,0.035,0.03333333333333333,0.030057244342958627,0.031746031746031744,0.02967288060455762,-0.012963837715845195,,0.0,0.0
20,,4,4,RND,0.06,0.057759740259740254,0.08176373890659605,0.055009276437847865,0.05885815740888204,0.013770491803278717,,0.0,0.0010249614715576172
20,,5,4,RND,0.045,0.0403943278943279,0.043514422085850664,0.038470788470788476,0.03913308395101113,-0.0033620508510190383,,0.0,0.0
