Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
23,,1,0,NB,0.285,0.28275999362955884,0.39242050220311087,0.28275999362955884,0.2973374538328274,0.2541011397125943,,0.003150463104248047,0.0
23,,2,0,NB,0.345,0.37483687809774763,0.393606546009292,0.37483687809774763,0.32884329804797185,0.31712148460916945,,0.004141092300415039,0.0
23,,3,0,NB,0.325,0.31270770292509426,0.33970691144604187,0.31270770292509426,0.2952361043859109,0.2932492212653457,,0.0,0.0045583248138427734
23,,4,0,NB,0.3,0.2902832674571805,0.25998625032873895,0.2902832674571805,0.24583924881188252,0.2681269277013959,,0.0,0.0
23,,5,0,NB,0.235,0.2257246376811594,0.22862946232511447,0.2257246376811594,0.21669058838640312,0.1984702831547791,,0.005366086959838867,0.0
23,,1,1,NB,0.325,0.3269286269286269,0.3606418198170116,0.3269286269286269,0.30536237853171494,0.29260113183818903,,0.004643440246582031,0.0
23,,2,1,NB,0.3,0.31005395570612965,0.2863481263031488,0.31005395570612965,0.27947623047686254,0.26567007605559934,,0.0,0.0
23,,3,1,NB,0.315,0.3202286843591191,0.2911658262916844,0.3202286843591191,0.2929051622733957,0.2824971195139835,,0.00516510009765625,0.0
23,,4,1,NB,0.275,0.3069734613212874,0.3054351729543545,0.3069734613212874,0.26599896887486063,0.2449882843009633,,0.004820823669433594,0.0
23,,5,1,NB,0.32,0.3165145241232198,0.34706163401815576,0.3165145241232198,0.3047985209618621,0.28940906003448463,,0.004870414733886719,0.0
23,,1,2,NB,0.295,0.2899178116569421,0.3292662651358304,0.2899178116569421,0.2702279504911356,0.2642838507696321,,0.0019981861114501953,0.0
23,,2,2,NB,0.23,0.22228652989522554,0.2481761920160368,0.22228652989522554,0.20767054915778776,0.19517102615694182,,0.0036094188690185547,0.0010080337524414062
23,,3,2,NB,0.345,0.3431411583585497,0.3847427934384456,0.3431411583585497,0.3278462729196341,0.31549796216950565,,0.0021393299102783203,0.0009944438934326172
23,,4,2,NB,0.31,0.3193701226309922,0.34051894160589813,0.3193701226309922,0.2908037618496631,0.27914751358127876,,0.0019068717956542969,0.0
23,,5,2,NB,0.28,0.28957359066054716,0.34890860474384505,0.28957359066054716,0.2677048313452652,0.2490417459779406,,0.0020003318786621094,0.0010061264038085938
23,,1,3,NB,0.295,0.30325688803949674,0.3227326708821087,0.30325688803949674,0.2904624496431282,0.2613933996856992,,0.0009984970092773438,0.0
23,,2,3,NB,0.33,0.3277071961854571,0.29728073858508647,0.3277071961854571,0.2996899757161832,0.29800665322052544,,0.0010006427764892578,0.0
23,,3,3,NB,0.325,0.31580400276052456,0.3624845124845125,0.31580400276052456,0.3007125663823145,0.2925825975318993,,0.0009353160858154297,0.0
23,,4,3,NB,0.245,0.2637594893029675,0.30131820500440537,0.2637594893029675,0.24291080868706377,0.21444178545416714,,0.0026862621307373047,0.0
23,,5,3,NB,0.245,0.2524013426187339,0.226885895214231,0.2524013426187339,0.22230109044605112,0.20981710667469056,,0.005059003829956055,0.0
23,,1,4,NB,0.28,0.29986390421173026,0.33267359673936137,0.29986390421173026,0.27847036787733354,0.24866951893978928,,0.0016579627990722656,0.0
23,,2,4,NB,0.305,0.3053962945267293,0.32709320249642826,0.3053962945267293,0.2851251288960443,0.2735634586741227,,0.004127025604248047,0.0
23,,3,4,NB,0.325,0.33679967375619546,0.35470773711115616,0.33679967375619546,0.31634437174079116,0.294836637154274,,0.004534006118774414,0.0
23,,4,4,NB,0.3,0.2886922256487474,0.3487057759099756,0.2886922256487474,0.2795293816710585,0.2682608127531686,,0.0,0.0
23,,5,4,NB,0.27,0.2714169888082932,0.27042239161804377,0.2714169888082932,0.2522909126489689,0.23474067667793586,,0.004868507385253906,0.0
