Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
25,,1,0,DT,0.315,0.34495815295815296,0.337476911976912,0.34495815295815296,0.31255401734712546,0.2875159268793719,,0.013025283813476562,0.0
25,,2,0,DT,0.25,0.24679509379509376,0.2777205017205017,0.24679509379509376,0.24849163255045606,0.21935987509758004,,0.014304637908935547,0.0011022090911865234
25,,3,0,DT,0.32,0.3169177489177489,0.32915295815295814,0.3169177489177489,0.31180212254206063,0.2909095649000235,,0.01253962516784668,0.0
25,,4,0,DT,0.35,0.3375185925185925,0.3586248196248196,0.3375185925185925,0.33184578682411503,0.3225638353309016,,0.015497922897338867,0.0
25,,5,0,DT,0.325,0.3368309468309469,0.3077899877899878,0.3368309468309469,0.30905903384541156,0.29711295655116754,,0.013729572296142578,0.0
25,,1,1,DT,0.34,0.35387734487734485,0.3585794205794206,0.35387734487734485,0.33941648958421067,0.3126253026791992,,0.014632940292358398,0.0
25,,2,1,DT,0.26,0.251988455988456,0.26645243645243644,0.251988455988456,0.24524622136063787,0.22970827803367422,,0.013520479202270508,0.0
25,,3,1,DT,0.4,0.4252958152958153,0.44235864135864134,0.4252958152958153,0.4054598109149192,0.37503255038800065,,0.021727561950683594,0.0
25,,4,1,DT,0.325,0.3447200577200577,0.3694072594072594,0.3447200577200577,0.3280519428971441,0.29694823455890007,,0.01643824577331543,0.0
25,,5,1,DT,0.295,0.29641558441558435,0.316084203378321,0.29641558441558435,0.283715084230766,0.26593086214077477,,0.013187885284423828,0.0
25,,1,2,DT,0.3,0.3062525252525253,0.30951082251082246,0.3062525252525253,0.29553573142481476,0.27018714486785167,,0.014292001724243164,0.0
25,,2,2,DT,0.3,0.31079365079365073,0.33035786435786435,0.31079365079365073,0.3025704570627171,0.2717247119411138,,0.01584768295288086,0.0
25,,3,2,DT,0.32,0.33941991341991345,0.3194866244866245,0.33941991341991345,0.31055545643390575,0.2901693676766095,,0.015072822570800781,0.0
25,,4,2,DT,0.275,0.28336985236985235,0.2767189477189477,0.28336985236985235,0.26743246089995315,0.24545974918041324,,0.016093730926513672,0.004117727279663086
25,,5,2,DT,0.255,0.25406138306138304,0.27254256854256853,0.25406138306138304,0.24868386079154686,0.2238168416117522,,0.012606143951416016,0.0
25,,1,3,DT,0.29,0.3019743589743589,0.3044502164502164,0.3019743589743589,0.2738924931604969,0.2571473411629306,,0.014305830001831055,0.0
25,,2,3,DT,0.32,0.331043512043512,0.3379267399267399,0.331043512043512,0.3148054955917387,0.29181420537388036,,0.00869607925415039,0.005122661590576172
25,,3,3,DT,0.275,0.29181562881562884,0.2812407592407592,0.29181562881562884,0.2714115050412264,0.24551864089288966,,0.017118215560913086,0.00011968612670898438
25,,4,3,DT,0.305,0.3300447330447331,0.3416123810829694,0.3300447330447331,0.3042247931634929,0.27713349628165795,,0.012469291687011719,0.0011496543884277344
25,,5,3,DT,0.28,0.284021645021645,0.2761045621045621,0.284021645021645,0.2600949913519573,0.24919836283531893,,0.01476430892944336,0.0009920597076416016
25,,1,4,DT,0.295,0.2916695526695527,0.2946963036963037,0.2916695526695527,0.27964647255049735,0.26539543607377303,,0.01310420036315918,0.0007681846618652344
25,,2,4,DT,0.335,0.35015440115440105,0.349926406926407,0.35015440115440105,0.33343729700251434,0.3064789466823099,,0.014687776565551758,0.0010528564453125
25,,3,4,DT,0.3,0.3035728715728716,0.3118333333333333,0.3035728715728716,0.2963669051816851,0.2706243976138998,,0.016202926635742188,0.0009515285491943359
25,,4,4,DT,0.35,0.36169841269841263,0.35631923631923634,0.36169841269841263,0.34275863354425745,0.3220692532332081,,0.017328739166259766,0.0
25,,5,4,DT,0.325,0.34467288267288276,0.3190808080808081,0.34467288267288276,0.31578141225819245,0.2974787292170791,,0.012792825698852539,7.891654968261719e-05
