Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
41,,1,0,MLP,0.345,0.35667828106852495,0.35540069686411146,0.35667828106852495,0.335023863431324,0.32808452799220367,,3.8531055450439453,0.0019998550415039062
41,,2,0,MLP,0.385,0.38886953155245835,0.39027293844367017,0.38886953155245835,0.36434274318061977,0.3691498910116683,,4.335452079772949,0.0019080638885498047
41,,3,0,MLP,0.48,0.5241385985288424,0.482481610530391,0.5241385985288424,0.4570930265334856,0.46691270695576415,,4.274611711502075,0.0023186206817626953
41,,4,0,MLP,0.345,0.36559233449477346,0.36852497096399534,0.36559233449477346,0.32661714978788153,0.3295631925074848,,4.347280740737915,0.0022535324096679688
41,,5,0,MLP,0.42,0.4131533101045295,0.39526713124274093,0.4131533101045295,0.3820872894043626,0.4044410216916956,,4.037323474884033,0.0
41,,1,1,MLP,0.415,0.4330429732868757,0.4225996902826171,0.4330429732868757,0.39727427044500213,0.39998461499012794,,3.8748791217803955,0.0
41,,2,1,MLP,0.405,0.4135404568331397,0.4116240805265195,0.4135404568331397,0.38026411656253833,0.3894461404273878,,3.898611307144165,0.0
41,,3,1,MLP,0.415,0.4110917537746806,0.4376552986309084,0.4110917537746806,0.39557068947312846,0.3995843276114234,,4.162311792373657,0.0025289058685302734
41,,4,1,MLP,0.36,0.37872628726287266,0.37566633908097324,0.37872628726287266,0.3445972118780395,0.343572912125952,,3.5978806018829346,0.0005168914794921875
41,,5,1,MLP,0.385,0.3960515873015873,0.39988385598141696,0.38639179248935346,0.3578045937802035,0.3690528097668573,,4.10051417350769,0.0
41,,1,2,MLP,0.4,0.42232868757259,0.4311556329849012,0.42232868757259,0.40540760052955166,0.3848046754844663,,3.885716676712036,0.0
41,,2,2,MLP,0.34,0.34660278745644596,0.3689323549079646,0.34660278745644596,0.326045769948209,0.32366654711277354,,3.916001319885254,0.001996278762817383
41,,3,2,MLP,0.325,0.3352109949670925,0.34623499806426633,0.3352109949670925,0.31614388321705394,0.30783429040196886,,4.245335578918457,0.0
41,,4,2,MLP,0.385,0.3727835849787069,0.41719899341850564,0.3727835849787069,0.3583133668499522,0.3688585576108988,,4.342188358306885,0.0018756389617919922
41,,5,2,MLP,0.47,0.4828300425861402,0.4897406116918313,0.4828300425861402,0.4577138308845627,0.45624294654765574,,4.48138952255249,0.0027015209197998047
41,,1,3,MLP,0.34,0.3938637243515292,0.3619337979094077,0.3938637243515292,0.3310118066215627,0.3247218314362451,,4.728741884231567,0.0
41,,2,3,MLP,0.41,0.4205768486256291,0.45687449406961606,0.4205768486256291,0.38310171500158663,0.39463896370398877,,4.392617702484131,0.002039194107055664
41,,3,3,MLP,0.355,0.3665795586527294,0.37481610530391013,0.3665795586527294,0.3358603456164431,0.33920704845814986,,4.379268169403076,0.0029189586639404297
41,,4,3,MLP,0.425,0.46563104916763454,0.46281455671699573,0.46563104916763454,0.42022802241597074,0.4102110418750161,,4.687426567077637,0.0
41,,5,3,MLP,0.405,0.44799915531622847,0.4221060782036392,0.44799915531622847,0.3938945798343216,0.389727941742096,,4.451905012130737,0.0
41,,1,4,MLP,0.385,0.4207897793263647,0.38289779326364687,0.4207897793263647,0.3657764999228414,0.3699577410679984,,4.469024658203125,0.0
41,,2,4,MLP,0.405,0.37967479674796745,0.38282388343363954,0.37967479674796745,0.35689527274893124,0.38991566481248885,,4.403775691986084,0.004750490188598633
41,,3,4,MLP,0.385,0.40047425474254744,0.4102725864920987,0.40047425474254744,0.35900503131493083,0.36957023141385414,,4.382012128829956,0.0
41,,4,4,MLP,0.36,0.36057878435927215,0.3858726639214444,0.36057878435927215,0.35055746899362394,0.34279773059841345,,4.403675556182861,0.0
41,,5,4,MLP,0.415,0.431794425087108,0.4486353077816492,0.431794425087108,0.4050757229379898,0.39998461499012794,,4.40492844581604,0.0040132999420166016
