Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
50,,1,0,kNN,0.25,0.26176190476190475,0.2750619935619935,0.26176190476190475,0.2258019203019203,0.23463530372222374,,0.0013842582702636719,0.00860595703125
50,,2,0,kNN,0.265,0.27009523809523805,0.29618614718614716,0.27009523809523805,0.24872222222222223,0.24998086685884846,,0.0026361942291259766,0.01722550392150879
50,,3,0,kNN,0.245,0.245,0.26459157509157505,0.245,0.21810606060606064,0.22915922201235384,,0.001989603042602539,0.016354084014892578
50,,4,0,kNN,0.16,0.17998511904761902,0.167515873015873,0.1727857142857143,0.14362382062382065,0.14327239348275078,,0.0009982585906982422,0.015513181686401367
50,,5,0,kNN,0.245,0.2694920634920635,0.24364430014430014,0.2694920634920635,0.22575169275169277,0.2296900905496747,,0.0020253658294677734,0.011276483535766602
50,,1,1,kNN,0.265,0.30466472303206993,0.2787380952380952,0.29857142857142854,0.24478654678654677,0.2501912777352716,,0.0009920597076416016,0.012066125869750977
50,,2,1,kNN,0.22,0.23795238095238094,0.2626642246642247,0.23795238095238094,0.2031851481851482,0.20548014973643336,,0.0011935234069824219,0.012218475341796875
50,,3,1,kNN,0.24,0.2672585917483876,0.2499062049062049,0.2619134199134199,0.2215857475857476,0.22504333639237273,,0.0,0.01799750328063965
50,,4,1,kNN,0.275,0.2635476190476191,0.28694011544011544,0.2635476190476191,0.24211218021744338,0.25901321000587685,,0.0018000602722167969,0.012238502502441406
50,,5,1,kNN,0.27,0.28085714285714286,0.3119005994005994,0.28085714285714286,0.2585360195360195,0.2550830378325978,,0.0,0.015129804611206055
50,,1,2,kNN,0.21,0.21494169096209914,0.25502525252525254,0.21064285714285713,0.2058789543789544,0.19404203223831873,,0.0019969940185546875,0.010232686996459961
50,,2,2,kNN,0.3,0.3040168448331714,0.3233333333333333,0.2979365079365079,0.26542746142746143,0.28482031110316475,,0.001257181167602539,0.01589822769165039
50,,3,2,kNN,0.205,0.20694444444444446,0.20945767195767195,0.20694444444444446,0.18171151764901763,0.18962309829005386,,0.0015094280242919922,0.01030421257019043
50,,4,2,kNN,0.26,0.2604285714285714,0.2986565101565101,0.2604285714285714,0.24048162295221118,0.24620556178058473,,0.0010139942169189453,0.013695478439331055
50,,5,2,kNN,0.275,0.2842380952380952,0.307551948051948,0.2842380952380952,0.26001010101010097,0.26033616446042795,,0.0027747154235839844,0.012983322143554688
50,,1,3,kNN,0.235,0.2694285714285714,0.20997374847374847,0.2694285714285714,0.21281717628776453,0.2186901570279587,,0.00122833251953125,0.011218070983886719
50,,2,3,kNN,0.205,0.2059047619047619,0.23513095238095238,0.2059047619047619,0.19471361971361972,0.19005654322245424,,0.0022280216217041016,0.014559268951416016
50,,3,3,kNN,0.24,0.27954761904761904,0.30078571428571427,0.27954761904761904,0.24071617271617268,0.22510259743570138,,0.001984119415283203,0.013302326202392578
50,,4,3,kNN,0.235,0.2683333333333333,0.24073232323232321,0.2683333333333333,0.2285102675102675,0.22054103622191668,,0.001245260238647461,0.0062105655670166016
50,,5,3,kNN,0.275,0.31008260447035957,0.2641132756132756,0.3038809523809524,0.22617149517149515,0.26090169992609014,,0.0010082721710205078,0.013575553894042969
50,,1,4,kNN,0.27,0.28966666666666663,0.2754566544566544,0.28966666666666663,0.2378970963676846,0.2559751312235643,,0.0009982585906982422,0.013000011444091797
50,,2,4,kNN,0.285,0.2705714285714286,0.3235054945054945,0.2705714285714286,0.25593476458182346,0.27012887584534917,,0.002000093460083008,0.014206647872924805
50,,3,4,kNN,0.215,0.2657142857142857,0.22987373737373737,0.2657142857142857,0.21275474525474525,0.19904088972782685,,0.0019958019256591797,0.02526712417602539
50,,4,4,kNN,0.225,0.2492311507936508,0.22725774225774228,0.2392619047619048,0.19830076940603256,0.21013071062756394,,0.0015439987182617188,0.019487619400024414
50,,5,4,kNN,0.27,0.2601904761904762,0.2571284271284271,0.2601904761904762,0.2357913524384113,0.25329241784937995,,0.0016465187072753906,0.009432554244995117
