Dataset,SW,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
63,,1,0,RF,0.205,0.2211864406779661,0.1792517006802721,0.20714285714285716,0.17780411828030876,0.19170352295256976,,0.9318175315856934,0.03437399864196777
63,,2,0,RF,0.2,0.22302227342549924,0.2156084656084656,0.2194822373393802,0.18175061270299367,0.18754919135755455,,0.9023501873016357,0.015757083892822266
63,,3,0,RF,0.25,0.26465651834504295,0.23465821812596005,0.2603878648233487,0.21556695992179867,0.23875256921007892,,0.9406416416168213,0.03160595893859863
63,,4,0,RF,0.215,0.23536155202821868,0.20391156462585033,0.23536155202821868,0.19099912433245766,0.2029849988577811,,0.8881909847259521,0.02522730827331543
63,,5,0,RF,0.285,0.2875878220140515,0.24372637944066514,0.27845804988662126,0.2296180010465725,0.27348473301834064,,0.9144496917724609,0.03900289535522461
63,,1,1,RF,0.265,0.2400793650793651,0.2903376165280927,0.22864701436130008,0.22279255136397993,0.25365556458164085,,0.9463253021240234,0.022905349731445312
63,,2,1,RF,0.255,0.26531746031746034,0.31383849836230787,0.2526832955404384,0.23815020957878102,0.24353962532365347,,0.8795897960662842,0.03140544891357422
63,,3,1,RF,0.21,0.23108465608465606,0.2020408163265306,0.23108465608465606,0.1958156481966006,0.1983764586504313,,0.9387233257293701,0.027277469635009766
63,,4,1,RF,0.24,0.24842549923195087,0.24845049130763416,0.24448223733938018,0.21566951566951567,0.22785806812120601,,0.8698899745941162,0.016529321670532227
63,,5,1,RF,0.185,0.22738095238095238,0.1778609831029186,0.22004608294930875,0.16556579621095752,0.1729247006291862,,0.8586409091949463,0.02440929412841797
63,,1,2,RF,0.205,0.22857142857142856,0.21284958427815567,0.22857142857142856,0.19629973201401774,0.19264750685487964,,0.8767762184143066,0.023916959762573242
63,,2,2,RF,0.25,0.25053763440860216,0.2495275888133031,0.24656084656084656,0.22503263931835363,0.23801783038276914,,0.90177321434021,0.023485898971557617
63,,3,2,RF,0.25,0.2571428571428572,0.2597883597883598,0.24897959183673468,0.2256853375900995,0.23757243061909117,,0.9471406936645508,0.02883601188659668
63,,4,2,RF,0.22,0.22944444444444442,0.24168556311413456,0.2185185185185185,0.20095971048352002,0.20870425321463915,,0.9588286876678467,0.03129839897155762
63,,5,2,RF,0.295,0.312919594067135,0.28834485407066046,0.3078725038402457,0.26754294093003766,0.28342735173044675,,0.9175138473510742,0.031392574310302734
63,,1,3,RF,0.18,0.1768817204301075,0.21366900295471722,0.17407407407407408,0.16329393710346093,0.1681460816637078,,0.9424333572387695,0.022659778594970703
63,,2,3,RF,0.275,0.2798387096774193,0.29731670445956154,0.27539682539682536,0.24611305801781994,0.26352947151890704,,0.922076940536499,0.021683454513549805
63,,3,3,RF,0.2,0.20561224489795918,0.18555051650289742,0.20561224489795918,0.16526031287936052,0.18748730448913276,,0.8741331100463867,0.028015613555908203
63,,4,3,RF,0.245,0.276747311827957,0.23743386243386244,0.2723544973544974,0.21761104856342947,0.23332740981442468,,0.8908977508544922,0.023712635040283203
63,,5,3,RF,0.285,0.3208994708994709,0.29198790627362053,0.3208994708994709,0.265110286538858,0.27400111692135865,,0.8595867156982422,0.020668745040893555
63,,1,4,RF,0.23,0.2573481116584565,0.23121693121693118,0.23692365835222978,0.20237637142399048,0.21815504899223237,,0.8243777751922607,0.027890682220458984
63,,2,4,RF,0.195,0.21036866359447004,0.18681027966742253,0.2070294784580499,0.174532169770265,0.18228452435370013,,0.9496185779571533,0.028016090393066406
63,,3,4,RF,0.235,0.2674731182795699,0.21266061980347695,0.2632275132275132,0.2100414576605053,0.22325168168549303,,0.9313089847564697,0.03130340576171875
63,,4,4,RF,0.23,0.2506802721088435,0.21124338624338626,0.2506802721088435,0.20465953799287134,0.2178770949720672,,0.9171321392059326,0.025157451629638672
63,,5,4,RF,0.245,0.2453551912568306,0.22388510959939534,0.23756613756613756,0.20444114967924493,0.2327040829289363,,0.9346864223480225,0.03176116943359375
